seed,class,name,x_m,y_m,yaw_deg
1,tent,帐篷,-0.3445,3.9827,-17.11424934055769
1,pillbox,碉堡,-0.9551,5.4288,-107.25769924849011
1,bridge,桥梁,1.1525,1.4126,-35.46035794064665
1,panzer,装甲车,-1.183,1.1042,146.4136349677306
1,red_cross,红十字,0.1331,5.7659,-42.020724694894575
2,tent,帐篷,-0.255,3.9562,61.77630947100536
2,pillbox,碉堡,1.0862,1.7288,111.57207144582522
2,bridge,桥梁,-1.0591,5.3263,93.58692625666866
2,panzer,装甲车,0.5133,5.4397,-132.7142140861526
2,red_cross,红十字,1.1739,3.8293,-21.663534233896424
3,tent,帐篷,-1.0031,4.276,-109.52661211720816
3,pillbox,碉堡,1.0819,1.1575,-111.33142917187027
3,bridge,桥梁,0.3164,5.1784,30.097472978222143
3,panzer,装甲车,-1.161,1.0907,1.8162762105647097
3,red_cross,红十字,-0.2465,3.0439,142.72951634503937
4,tent,帐篷,-1.1762,5.2378,137.65883985813159
4,pillbox,碉堡,1.164,1.7853,-61.948196809544605
4,bridge,桥梁,0.3793,4.5667,-157.7295514215643
4,panzer,装甲车,-1.1783,1.101,17.01684651538545
4,red_cross,红十字,0.7474,5.736,112.84976732896695
5,tent,帐篷,-1.1023,5.2537,-176.17306284682553
5,pillbox,碉堡,0.9409,1.1321,173.3712992286358
5,bridge,桥梁,0.3197,4.3377,39.17312445309438
5,panzer,装甲车,-1.1887,1.0866,-55.588365283592466
5,red_cross,红十字,-1.189,3.975,73.80842316875265
6,tent,帐篷,0.1805,4.6015,-150.87697619179968
6,pillbox,碉堡,-1.1644,5.4581,-157.0878386910178
6,bridge,桥梁,1.1662,1.9205,53.095998874773386
6,panzer,装甲车,-1.1858,1.1236,138.9250765853707
6,red_cross,红十字,-0.4153,3.3649,-8.027138709782834
7,tent,帐篷,-0.9627,5.3405,-69.82063691464211
7,pillbox,碉堡,0.3165,4.4169,157.3685880106319
7,bridge,桥梁,1.0585,1.3278,-79.57810816572004
7,panzer,装甲车,-1.1904,1.1164,-5.070676486907785
7,red_cross,红十字,-1.3331,4.121,1.2948846169956605
8,tent,帐篷,-1.0612,4.6926,-72.46197235019521
8,pillbox,碉堡,0.4733,4.345,59.20372897086797
8,bridge,桥梁,0.9825,1.3288,106.35815551013472
8,panzer,装甲车,-1.178,1.0959,-124.06828095762846
8,red_cross,红十字,0.8492,5.5736,-56.791576653367194
9,tent,帐篷,1.1378,1.5222,-160.74330942395244
9,pillbox,碉堡,0.3006,4.9236,135.27533543038737
9,bridge,桥梁,-1.0779,4.0987,-106.75349638877498
9,panzer,装甲车,-1.1872,1.0873,-6.291076590536439
9,red_cross,红十字,-0.6599,5.5649,-40.015372411936696
10,tent,帐篷,0.3519,5.3253,94.77867847054077
10,pillbox,碉堡,-1.0893,4.4477,31.650188603026674
10,bridge,桥梁,1.0943,1.3687,-12.192541880383917
10,panzer,装甲车,-1.1798,1.1037,-138.6443272657566
10,red_cross,红十字,0.9217,4.2582,5.362884962424506
11,tent,帐篷,0.0467,5.1977,109.99070793126414
11,pillbox,碉堡,1.0231,1.7417,42.416065573534844
11,bridge,桥梁,-1.1566,4.1782,-172.98168792794684
11,panzer,装甲车,-1.1945,1.1095,131.8146703477972
11,red_cross,红十字,1.4469,4.1073,0.1661577605879387
